 Stock Name ,Current Price,Previous close,Open,Bid,Ask,Day's range,52-week range,Volume,Avg. volume
State Bank of India (SBIN.NS),192.65,191.20,192.50,192.40 x 0,192.60 x 0,192.00 - 193.50,149.45 - 351.00,"6,062,037","69,048,295"
Canara Bank (CANBK.NS),100.25,100.25,100.75,100.25 x 0,100.30 x 0,99.60 - 101.40,73.65 - 239.00,"1,853,254","16,050,324"
Oil and Natural Gas Corporation Limited (ONGC.NS),79.60,79.50,80.00,79.55 x 0,79.60 x 0,79.50 - 80.40,50.00 - 149.65,"1,253,000","21,516,084"
